id,microchip,species,sex,size,potentDangerous,neighborhood
0039880-CMGF,991001000889300,CANINO,MACHO,GRANDE,false,USAQUEN
0040101-FMPF,966000101010400,FELINO,MACHO,PEQUEÑO,false,USME
0041101-CHMIF,966000101011400,CANINO,HEMBRA,MINIATURA,false,KENNEDY
0042291-CMMF,978101081922400,CANINO,MACHO,MEDIANO,false,TUNJUELITO
0045311-CHPF,991001001135400,CANINO,HEMBRA,PEQUEÑO,false,MUNICIPIOS ALEDAÑOS BOGOTA D.C.
0045470-CMMF,978101080745400,CANINO,MACHO,MEDIANO,false,SUBA
0046950-FHPF,900250000596400,FELINO,HEMBRA,PEQUEÑO,false,USAQUEN
0047191-FHPF,978101081917400,FELINO,HEMBRA,PEQUEÑO,false,SAN CRISTOBAL
0047291-CMGF,978101081927400,CANINO,MACHO,GRANDE,false,FONTIBON
0047501-FHPF,966000101057400,FELINO,HEMBRA,PEQUEÑO,false,C. BOLIVAR
0047950-FMPF,900250000597400,FELINO,MACHO,PEQUEÑO,false,C. BOLIVAR
0048291-CMMF,978101081928400,CANINO,MACHO,MEDIANO,false,BOSA
0049191-CHPF,978101081919400,CANINO,HEMBRA,PEQUEÑO,false,B. UNIDOS
0049311-CMMT,966000101139400,CANINO,MACHO,MEDIANO,true,SAN CRISTOBAL
0050291-CHGF,978101081920500,CANINO,HEMBRA,GRANDE,false,R. URIBE
0050511-CHGF,978101081150500,CANINO,HEMBRA,GRANDE,false,R. URIBE
0051501-FHMF,978101081051500,FELINO,HEMBRA,MEDIANO,false,C. BOLIVAR
0051840-FHPF,900250000481500,FELINO,HEMBRA,PEQUEÑO,false,USAQUEN
0053021-CHMIF,941000021203500,CANINO,HEMBRA,MINIATURA,false,ENGATIVA
0053872-CHMF,941000012783500,CANINO,HEMBRA,MEDIANO,false,KENNEDY
0056001-CMGF,966000101006500,CANINO,MACHO,GRANDE,false,C. BOLIVAR
0056291-CMMIF,978101081926500,CANINO,MACHO,MINIATURA,false,FONTIBON
0056950-CHGT,900250000596500,CANINO,HEMBRA,GRANDE,true,KENNEDY
